id,area,compactness,density,adjacentRooms,y_label
lot_plan_01A101_room1,13.16171418,27.19333507,0.000314534,1,5
lot_plan_01A101_room3,6.162363904,13.31826296,0.000679156,4,2
lot_plan_01A101_room4,2.886449246,28.05702891,0.000598622,3,3
lot_plan_01A101_room5,5.814966085,27.11325365,0.000388821,5,4
lot_plan_01A101_room6,40.23890085,10.08507542,7.66E-05,6,0
lot_plan_01A101_room7,12.5735049,13.56703753,0.000111653,3,1
lot_plan_01A101_room8,17.62085079,7.652468711,0.000206224,2,1
lot_plan_01A102_room1,19.16840466,12.34912856,0.000180913,3,1
lot_plan_01A102_room2,4.99365722,14.67971835,0.000519066,3,2
lot_plan_01A102_room3,32.60441015,11.25531409,5.61E-05,3,0
lot_plan_01A102_room4,5.057085024,13.12783123,0.000527525,3,3
lot_plan_01A102_room5,7.013026505,20.52672341,0.000147772,6,4
lot_plan_01A102_room6,14.68395138,10.56728426,0.000102488,3,1
lot_plan_01A102_room7,15.60916801,20.71180271,0.00027988,3,5
lot_plan_01A103_room1,21.10121975,13.47116344,0.000205511,3,1
lot_plan_01A103_room2,7.221712721,18.85427122,0.000576082,4,2
lot_plan_01A103_room3,6.547124687,19.81244464,0.000155437,6,4
lot_plan_01A103_room4,27.96605819,10.61033129,8.38E-05,4,0
lot_plan_01A103_room5,3.481462168,9.684378757,0.000309241,3,3
lot_plan_01A103_room6,16.23819941,15.47520296,0.000130929,5,1
lot_plan_01A103_room7,17.05617473,20.75809975,0.000277259,3,5
lot_plan_01A104_room1,21.07584531,10.16496753,0.000209383,3,1
lot_plan_01A104_room2,7.234031266,17.09833641,0.000616671,3,2
lot_plan_01A104_room3,29.37077872,10.17220588,6.39E-05,3,0
lot_plan_01A104_room4,6.523972951,22.11024546,0.000172668,6,4
lot_plan_01A104_room5,3.623526137,10.02643597,0.000338836,3,3
lot_plan_01A104_room6,14.72355676,13.8153813,0.000113637,3,1
lot_plan_01A104_room7,16.63761053,23.03069534,0.000289259,3,5
lot_plan_01A105_room1,13.1198625,21.65935474,0.000147664,4,1
lot_plan_01A105_room2,19.57745502,14.33507765,0.000269687,2,1
lot_plan_01A105_room3,7.243830237,13.28682792,0.000166193,4,2
lot_plan_01A105_room4,6.563874675,27.12584133,0.000740409,3,4
lot_plan_01A105_room5,3.460832933,18.47455903,0.000150751,5,3
lot_plan_01A105_room6,49.77447678,18.69656872,0.000360733,3,0
lot_plan_01A106_room1,20.49018251,13.2245005,0.000206661,3,1
lot_plan_01A106_room2,7.367442737,11.25541712,0.000700338,3,2
lot_plan_01A106_room3,4.126780309,12.7185422,0.000408351,3,3
lot_plan_01A106_room4,31.05798483,13.56081795,8.80E-05,4,0
lot_plan_01A106_room5,5.878608354,26.31713824,0.000174459,6,4
lot_plan_01A106_room6,6.859780712,14.96941184,0.000173495,4,4
lot_plan_01A106_room7,15.17597412,11.51546045,0.000151384,3,1
lot_plan_01A106_room8,9.012074193,11.74558085,0.000480227,2,5
lot_plan_01A107_room1,55.65449633,56.26927803,0.000346028,2,0
lot_plan_01A107_room2,12.25929105,21.43920653,0.000164027,3,2
lot_plan_01A107_room3,31.72704542,18.64526555,0.0006661,3,1
lot_plan_01A108_room1,13.74818155,7.428697351,0.001092426,2,1
lot_plan_01A108_room2,6.108596625,19.56489592,0.000162628,2,2
lot_plan_01A108_room3,11.08539601,7.799865013,0.000112556,3,1
lot_plan_01A108_room4,12.69669463,10.08569443,0.000110634,3,1
lot_plan_01A108_room5,12.56620363,25.38153808,0.0002924,5,4
lot_plan_01A108_room6,10.4072937,33.97484497,0.000668016,2,2
lot_plan_01A108_room7,32.04824454,8.871609211,0.000185443,3,0
lot_plan_01A201_room1,16.1156385,32.97498065,0.00044336,2,5
lot_plan_01A201_room2,7.409404344,18.93273525,0.000272291,2,2
lot_plan_01A201_room3,2.405021309,18.42903834,0.000504617,3,4
lot_plan_01A201_room4,3.839242762,13.57079709,0.000380432,4,3
lot_plan_01A201_room5,48.96400498,16.66197403,0.000314363,3,0
lot_plan_01A201_room6,20.71152772,16.77233821,5.57E-05,5,1
lot_plan_01A202_room1,14.78375106,13.86773962,7.93E-05,4,1
lot_plan_01A202_room2,15.77671751,20.57277945,0.000256682,2,5
lot_plan_01A202_room3,2.870244396,9.838758679,0.000274965,3,3
lot_plan_01A202_room4,6.926893504,20.23290334,0.000152994,5,4
lot_plan_01A202_room5,6.46362774,26.20440291,0.000515236,3,2
lot_plan_01A202_room6,33.97598482,12.2845928,7.52E-05,4,0
lot_plan_01A202_room7,18.84408233,11.41917148,0.000151717,3,1
lot_plan_01A203_room1,15.42269199,12.81890583,0.000113199,3,1
lot_plan_01A203_room2,17.46141446,19.00780629,0.000270965,3,5
lot_plan_01A203_room3,3.217472769,8.719607454,0.000261285,3,3
lot_plan_01A203_room4,6.707999924,20.54449071,0.000169108,6,4
lot_plan_01A203_room5,7.280749801,18.40502682,0.000548887,3,2
lot_plan_01A203_room6,28.81581302,10.47350922,9.13E-05,3,0
lot_plan_01A203_room7,20.22541223,11.48825323,0.000166397,3,1
lot_plan_01A204_room1,17.1433858,23.93188685,0.000266663,3,5
lot_plan_01A204_room2,14.79251735,16.90161607,0.000109295,4,1
lot_plan_01A204_room3,3.539891416,9.505237612,0.000276545,3,3
lot_plan_01A204_room4,6.885972859,21.4496614,0.000177969,6,4
lot_plan_01A204_room5,7.138300083,25.5436206,0.000528289,4,2
lot_plan_01A204_room6,30.7183386,10.22102307,8.93E-05,3,0
lot_plan_01A204_room7,19.74077523,9.848550775,0.000156409,3,1
lot_plan_01A205_room1,11.93524034,10.91504829,0.000116821,1,1
lot_plan_01A205_room2,7.459843149,21.25279287,0.000607521,3,2
lot_plan_01A205_room3,6.853769499,19.49161702,0.000139079,4,4
lot_plan_01A205_room4,3.414153402,8.075160904,0.000208178,3,3
lot_plan_01A205_room5,53.05986976,28.78364719,0.000133222,4,0
lot_plan_01A205_room6,16.67222411,11.87410552,0.000145668,3,1
lot_plan_01A206_room1,8.119955474,16.09828933,0.000289458,1,5
lot_plan_01A206_room2,38.74776172,18.79910822,9.86E-05,4,0
lot_plan_01A206_room3,6.85639557,18.65646047,0.000195112,5,4
lot_plan_01A206_room4,7.010200598,12.74452736,0.000312207,3,2
lot_plan_01A206_room5,4.000372146,19.82487999,0.000591814,3,3
lot_plan_01A206_room6,18.52018924,10.38571243,0.000149061,3,1
lot_plan_01A206_room7,15.4652512,11.71746594,0.000103172,3,1
lot_plan_01A207_room1,13.3209321,28.72310786,0.000608227,2,2
lot_plan_01A207_room2,30.45904792,30.11657115,0.000154689,2,1
lot_plan_01A207_room3,55.58751039,35.39529332,0.000173409,2,0
lot_plan_01A208_room1,15.93689461,8.500102329,0.000154333,2,1
lot_plan_01A208_room2,11.8572747,8.048323521,9.93E-05,4,1
lot_plan_01A208_room4,2.395981669,10.77093722,0.000768538,3,3
lot_plan_01A208_room5,9.223624956,14.41153414,0.00092248,3,2
lot_plan_01A208_room6,12.82631177,24.88344291,0.000194826,8,4
lot_plan_01A208_room7,13.95611621,12.95984383,0.000113508,4,1
lot_plan_01A208_room8,8.290711672,15.57066675,0.000290317,4,5
lot_plan_01A208_room9,24.36929302,8.768524675,5.87E-05,3,0
lot_plan_01A301_room1,10.01440685,16.19801299,0.000414345,1,5
lot_plan_01A301_room3,6.383464907,21.45114507,0.000525219,4,2
lot_plan_01A301_room4,2.986898449,17.58448572,0.000392517,4,4
lot_plan_01A301_room5,4.133655851,12.0606762,0.000309483,4,3
lot_plan_01A301_room6,52.97547313,26.12043898,0.00010137,4,0
lot_plan_01A301_room7,21.61986722,13.88823121,0.000140436,3,1
lot_plan_01A303_room1,14.97822863,12.02380649,0.000130001,3,1
lot_plan_01A303_room2,16.65285672,20.15356699,0.000261426,3,5
lot_plan_01A303_room4,6.73134553,20.35194207,0.00018019,6,4
lot_plan_01A303_room5,11.29011098,30.20460133,0.000569009,3,2
lot_plan_01A303_room6,28.87134106,11.30868201,7.78E-05,3,0
lot_plan_01A303_room7,20.10430649,11.29047443,0.000161618,3,1
lot_plan_01A304_room1,10.56051313,11.11565404,0.000445063,1,5
lot_plan_01A304_room2,14.90471366,18.22095227,0.000111981,4,1
lot_plan_01A304_room3,3.694860967,10.03017257,0.000310779,3,3
lot_plan_01A304_room4,6.719031511,22.98392587,0.000176481,5,4
lot_plan_01A304_room5,7.226942946,26.29111949,0.00054,4,2
lot_plan_01A304_room6,36.61714177,16.67088528,0.00010533,4,0
lot_plan_01A304_room7,20.2185167,10.68908175,0.000160378,3,1
lot_plan_01A305_room1,12.01179218,10.80411348,0.000100823,2,1
lot_plan_01A305_room2,9.255138651,15.16010708,0.000195165,4,4
lot_plan_01A305_room3,5.345461493,21.99793387,0.000530391,3,2
lot_plan_01A305_room4,6.683214902,17.26700377,0.000137745,5,4
lot_plan_01A305_room5,5.462483596,18.46993591,0.00039015,3,3
lot_plan_01A305_room6,44.00466722,16.07194711,0.000113563,4,0
lot_plan_01A305_room7,16.45060286,10.2617714,0.00013282,3,1
lot_plan_01A306_room1,3.280198318,10.38593054,0.000304147,3,3
lot_plan_01A306_room2,6.875695476,14.5038154,0.000610779,3,2
lot_plan_01A306_room3,15.15446431,11.35533937,0.000112935,3,1
lot_plan_01A306_room4,5.766795034,19.76471717,0.000185621,5,4
lot_plan_01A306_room5,20.1450842,11.40253242,0.000152091,3,1
lot_plan_01A306_room6,39.93200111,20.4154967,9.83E-05,4,0
lot_plan_01A306_room7,7.988684809,15.77152643,0.000289538,1,5
lot_plan_01A307_room1,16.38518045,31.34746021,0.000599442,2,2
lot_plan_01A307_room2,30.89830178,27.27523337,0.000164953,2,1
lot_plan_01A307_room3,52.71520223,43.52720978,0.000145427,2,0
lot_plan_01A308_room1,15.96969689,9.034482118,0.000155019,2,1
lot_plan_01A308_room2,12.92391403,9.471684978,0.000125541,3,1
lot_plan_01A308_room3,2.660816375,11.40316041,0.000849048,3,2
lot_plan_01A308_room4,9.2802321,14.3308216,0.000928772,3,2
lot_plan_01A308_room5,13.30661908,29.9001934,0.000203688,7,4
lot_plan_01A308_room6,13.32217329,11.76064575,0.000127663,3,1
lot_plan_01A308_room7,7.867364583,13.3728083,0.000278727,4,5
lot_plan_01A308_room8,24.37660472,9.133641962,6.64E-05,3,0
lot_plan_01A401_room1,17.55738562,15.47562007,0.000352375,1,5
lot_plan_01A401_room2,8.245902075,22.70275282,0.000501182,3,2
lot_plan_01A401_room3,2.697142875,21.63441014,0.000324129,4,4
lot_plan_01A401_room4,4.126359123,15.55198196,0.000278639,3,3
lot_plan_01A401_room5,44.87025697,16.29887176,6.85E-05,4,0
lot_plan_01A401_room6,22.13293831,24.22170759,0.000147999,3,1
lot_plan_01A403_room1,15.4997097,13.00211892,0.000136201,4,1
lot_plan_01A403_room2,15.6860101,24.84733143,0.000305422,2,5
lot_plan_01A403_room3,3.570388759,9.572737481,0.000292544,3,3
lot_plan_01A403_room4,6.272340469,18.61526163,0.000192519,5,4
lot_plan_01A403_room5,7.283354701,18.3739588,0.000550611,3,2
lot_plan_01A403_room6,30.40278821,11.25798943,8.61E-05,4,0
lot_plan_01A403_room7,20.80520184,10.66773815,0.000172026,3,1
lot_plan_01A404_room1,16.80668503,26.66037931,0.000288843,3,5
lot_plan_01A404_room2,14.66594084,16.13888064,0.000156258,3,1
lot_plan_01A404_room3,3.621316772,8.944607412,0.000294228,3,3
lot_plan_01A404_room4,7.074212419,22.16578547,0.000173329,5,4
lot_plan_01A404_room5,7.171918376,24.63606662,0.000524625,4,2
lot_plan_01A404_room6,30.49665153,9.770222598,8.74E-05,3,0
lot_plan_01A404_room7,20.13862974,9.897322601,0.000162508,3,1
lot_plan_01A406_room1,8.066140752,15.6646726,0.000282656,1,5
lot_plan_01A406_room2,38.82224318,18.19660344,9.96E-05,4,0
lot_plan_01A406_room3,4.857786242,14.36388801,0.000159304,5,4
lot_plan_01A406_room4,5.119820538,14.3597366,0.000491386,3,2
lot_plan_01A406_room5,6.216574147,17.5957013,0.000497863,3,3
lot_plan_01A406_room6,20.03814165,12.45758314,0.000156451,3,1
lot_plan_01A406_room7,15.54997208,11.8728128,0.000106785,3,1
lot_plan_01A407_room1,14.73548124,41.98440666,0.000579901,2,2
lot_plan_01A407_room2,30.62949586,26.75615055,0.000152581,2,1
lot_plan_01A407_room3,54.6350229,39.57549929,0.000157327,2,0
lot_plan_01A408_room1,14.13600473,9.448880635,0.000107047,3,1
lot_plan_01A408_room3,3.043535099,11.47891046,0.000825638,3,2
lot_plan_01A408_room4,11.05782503,11.50111662,0.000944839,3,2
lot_plan_01A408_room5,15.46090139,28.03556231,0.000191298,6,4
lot_plan_01A408_room6,16.31082959,13.64197328,0.000119658,4,1
lot_plan_01A408_room7,38.39511135,22.76250081,0.000176693,4,0
lot_plan_01A501_room1,18.20932096,19.75274275,0.00036366,1,5
lot_plan_01A501_room2,8.696585391,17.28289105,0.000559177,2,2
lot_plan_01A501_room3,4.171912976,15.65105972,0.00027618,3,3
lot_plan_01A501_room4,2.919940124,21.09225935,0.000338411,3,4
lot_plan_01A501_room5,42.29263314,16.19382282,6.69E-05,2,0
lot_plan_01A501_room6,23.45132143,23.21855384,0.000148195,3,1
lot_plan_01A502_room1,14.70202423,14.08311113,0.000124521,3,1
lot_plan_01A502_room2,16.72167602,19.53615617,0.000248221,3,5
lot_plan_01A502_room3,3.169195771,9.524476385,0.000269586,3,3
lot_plan_01A502_room4,6.507398474,23.64711203,0.000519811,3,2
lot_plan_01A502_room5,6.932157864,20.04324575,0.000148945,6,4
lot_plan_01A502_room6,32.3459438,10.33522014,7.06E-05,3,0
lot_plan_01A502_room7,18.86378837,11.03961316,0.00015175,3,1
lot_plan_01A503_room1,12.57602762,22.78837863,0.000480898,3,2
lot_plan_01A503_room2,21.41705595,19.73978615,0.000370127,3,5
lot_plan_01A503_room3,2.455146364,21.09148633,0.000419494,5,4
lot_plan_01A503_room4,4.697463349,15.445245,0.000323444,3,3
lot_plan_01A503_room5,33.27234031,15.30433331,7.87E-05,3,0
lot_plan_01A503_room6,25.53960899,21.23754715,0.000149821,3,1
lot_plan_01A504_room1,12.72109511,21.67149415,0.000474233,3,2
lot_plan_01A504_room2,21.63688842,24.36205462,0.000364327,2,5
lot_plan_01A504_room3,2.563641639,16.0174259,0.000460974,4,4
lot_plan_01A504_room4,4.56232706,13.45876537,0.000299981,3,3
lot_plan_01A504_room5,32.30071727,13.63286482,7.48E-05,3,0
lot_plan_01A504_room6,25.7608954,17.15538485,0.000148669,3,1
lot_plan_01A505_room1,3.194597499,10.83941958,0.00030834,3,3
lot_plan_01A505_room2,6.887542011,16.95575683,0.000611052,3,2
lot_plan_01A505_room3,14.8864544,11.07234303,0.000108824,3,1
lot_plan_01A505_room4,5.782348274,20.58538347,0.00017412,5,4
lot_plan_01A505_room5,20.41016812,12.29832993,0.00015254,3,1
lot_plan_01A505_room6,40.14806289,19.42120636,0.00010027,4,0
lot_plan_01A505_room7,7.865738798,15.33401355,0.000293193,1,5
lot_plan_01A506_room1,13.74134053,27.77664625,0.000536386,2,2
lot_plan_01A506_room2,30.94481354,24.66713559,0.000152365,2,1
lot_plan_01A506_room3,54.10008917,37.96003093,0.000157094,2,0
lot_plan_01A507_room1,15.84933556,9.196263127,0.000161236,2,1
lot_plan_01A507_room2,11.55596775,8.848316439,0.00010671,3,1
lot_plan_01A507_room3,2.65885905,10.45274825,0.000832639,3,3
lot_plan_01A507_room4,9.285900934,14.36220367,0.000865924,3,2
lot_plan_01A507_room5,12.7042019,30.71253604,0.000712706,6,4
lot_plan_01A507_room6,14.12668648,10.06131192,0.000163691,4,1
lot_plan_01A507_room7,10.03210149,10.30625801,0.000290551,2,5
lot_plan_01A507_room8,22.69890806,9.365185564,5.92E-05,5,0
lot_plan_01A601_room1,10.28949243,11.69629061,0.000169963,1,5
lot_plan_01A601_room2,2.251570451,11.43268889,0.000300663,4,3
lot_plan_01A601_room3,30.69170958,13.4886259,9.43E-05,5,0
lot_plan_01A601_room4,10.76477172,8.329095036,0.000197301,4,1
lot_plan_01A601_room5,2.64703064,8.551064198,0.000779924,4,2
lot_plan_01A601_room6,5.886105648,17.8301084,0.000142318,7,4
lot_plan_01A601_room7,9.407866726,8.83988549,0.000100617,3,1
lot_plan_01A601_room8,4.593905495,16.33627845,0.000556988,3,2
lot_plan_01A601_room9,11.32105555,8.187240946,0.000142475,4,1
lot_plan_01A601_room10,11.93066407,8.830864429,7.38E-05,3,1
lot_plan_01A602_room1,15.1202097,9.663918036,0.000125208,3,1
lot_plan_01A602_room2,5.893602538,12.74285004,0.000568461,3,2
lot_plan_01A602_room3,9.310809948,7.683104992,8.76E-05,3,1
lot_plan_01A602_room4,1.803288839,7.131603645,0.000313205,3,3
lot_plan_01A602_room5,6.957775915,15.22250025,0.000144712,8,4
lot_plan_01A602_room6,11.3411176,9.285672885,7.55E-05,5,1
lot_plan_01A602_room7,3.160719534,6.907604919,0.000714445,5,2
lot_plan_01A602_room8,10.10196449,8.774597707,7.77E-05,3,1
lot_plan_01A602_room9,10.6807392,11.91795567,0.000138853,3,5
lot_plan_01A602_room10,24.58329559,12.38721848,9.94E-05,4,0
lot_plan_01C101_room1,18.15954873,11.09246027,0.000211262,3,1
lot_plan_01C101_room2,7.671598022,15.53404678,0.000833284,3,2
lot_plan_01C101_room3,4.386117259,27.25707682,0.000176009,6,4
lot_plan_01C101_room4,34.89977305,14.965337,5.64E-05,4,0
lot_plan_01C101_room5,4.189295278,16.22306582,0.000422664,3,3
lot_plan_01C101_room6,14.71855249,12.93232256,0.000173368,4,1
lot_plan_01C101_room7,15.95783568,21.48032789,0.00032509,3,5
lot_plan_01C102_room1,17.35694142,12.38241266,0.00019229,4,1
lot_plan_01C102_room2,19.68624529,13.10866199,0.000113136,3,1
lot_plan_01C102_room3,5.994431555,15.19335433,0.00063926,4,2
lot_plan_01C102_room4,3.997762886,10.39622272,0.000310837,5,4
lot_plan_01C102_room5,3.286522106,15.27426386,0.000501205,3,3
lot_plan_01C102_room6,48.90362596,31.76210314,0.000763064,3,0
lot_plan_01C201_room1,2.615422927,10.01163057,0.000652434,2,2
lot_plan_01C201_room2,20.42330602,20.7293854,0.000126951,4,1
lot_plan_01C201_room3,2.343653753,7.169369552,0.000333185,3,3
lot_plan_01C201_room4,11.7956877,8.418756224,0.00010415,1,1
lot_plan_01C201_room5,11.33880803,11.99926787,0.000115501,3,1
lot_plan_01C201_room6,3.532130571,13.75238681,0.000246947,5,4
lot_plan_01C201_room7,6.70335884,12.4861086,0.000618051,5,2
lot_plan_01C201_room8,9.16678688,11.94770515,0.000371881,1,5
lot_plan_01C201_room9,31.97736556,13.23349371,7.56E-05,4,0
lot_plan_01C202_room1,8.865861592,21.04276701,0.000600562,3,2
lot_plan_01C202_room2,18.36208673,20.058166,0.000146868,3,1
lot_plan_01C202_room4,15.54693278,14.24903114,0.000136811,3,1
lot_plan_01C202_room5,5.797037912,23.77220106,0.000158756,6,4
lot_plan_01C202_room6,3.652311271,10.80964562,0.000261882,3,3
lot_plan_01C202_room7,43.76939324,17.54910167,0.000145422,3,0
lot_plan_03B304_room2,45.03881455,26.2340526,0.000294118,3,0
lot_plan_03B304_room3,5.686999318,16.86136388,0.000367011,4,4
lot_plan_03B304_room4,10.79991534,21.35186234,0.000673366,3,2
lot_plan_03B304_room6,26.12369772,15.57205627,0.000198059,3,1
lot_plan_03B305_room1,8.6854608,11.46203494,0.000492635,2,5
lot_plan_03B305_room2,36.72096679,17.63130389,0.000206734,3,0
lot_plan_03B305_room3,2.988527718,11.6246489,0.000396917,3,3
lot_plan_03B305_room5,6.140427048,12.04269603,0.000655521,2,2
lot_plan_03B306_room1,6.470624247,19.15141188,0.000306465,3,3
lot_plan_03B306_room3,15.03906461,22.58505356,0.000698707,3,2
lot_plan_03B306_room4,15.20903823,31.64772838,0.000266288,4,4
lot_plan_03B306_room5,60.77776309,21.91681703,0.0001516,2,0
lot_plan_03B401_room1,29.43296392,18.56378237,0.000209127,2,1
lot_plan_03B401_room2,11.3667483,21.15894635,0.000690825,2,2
lot_plan_03B401_room4,55.84849477,40.04714873,0.000202915,3,0
lot_plan_03B402_room2,10.15117958,10.31726128,0.000461831,2,5
lot_plan_03B402_room3,39.84012705,22.28464657,0.000113026,5,0
lot_plan_03B402_room4,5.539660707,13.04221588,0.000218256,4,4
lot_plan_03B402_room5,12.54174863,13.03698516,0.000138945,4,1
lot_plan_03B402_room7,10.55149916,17.59931352,0.000561247,4,2
lot_plan_03B402_room8,19.02375185,14.60774389,0.000196903,3,1
lot_plan_03B403_room2,9.776612035,12.35080202,0.000631029,2,2
lot_plan_03B403_room4,8.570923742,11.48445338,0.000369053,2,5
lot_plan_03B403_room5,36.15349075,22.89247625,0.000116447,3,0
lot_plan_03B404_room1,49.97253226,31.45033875,0.000308556,2,0
lot_plan_03B404_room2,6.140208755,21.91575991,0.000353709,4,4
lot_plan_03B404_room3,12.81678239,19.37419347,0.000733183,3,2
lot_plan_03B404_room5,28.44698868,21.04292042,0.000164985,3,1
lot_plan_03B405_room2,9.60580453,12.64193814,0.00063168,4,2
lot_plan_03B405_room3,11.01719883,13.00594604,0.000136023,5,1
lot_plan_03B405_room4,4.906085033,13.05564548,0.000209885,4,4
lot_plan_03B405_room5,16.49687326,13.82759215,0.000176715,3,1
lot_plan_03B405_room6,8.526993879,11.16797701,0.000359538,2,5
lot_plan_03B405_room7,36.28419145,18.03334844,0.000129406,5,0
lot_plan_03B406_room1,6.56124631,18.30434595,0.000311323,3,3
lot_plan_03B406_room3,15.01500576,23.07071912,0.000693195,3,2
lot_plan_03B406_room4,14.99728849,32.69078569,0.000260671,4,4
lot_plan_03B406_room5,60.92719381,21.97231613,0.000168718,2,0
lot_plan_03B501_room1,25.57091713,19.77191071,0.000160038,2,1
lot_plan_03B501_room2,10.72326994,17.69485533,0.000634221,2,2
lot_plan_03B501_room4,60.29060696,38.76205349,0.000175174,3,0
lot_plan_03B502_room2,10.96679232,14.91190635,0.000663809,2,2
lot_plan_03B502_room5,9.861409988,12.60508146,0.000382235,2,5
lot_plan_03B502_room6,39.06626609,22.21017779,9.14E-05,3,0
lot_plan_03B503_room2,8.932209882,9.395760137,0.000105418,3,5
lot_plan_03B503_room3,34.87630452,18.4409766,0.000405405,3,0
lot_plan_03B503_room4,3.050505448,9.563614828,0.000247772,2,3
lot_plan_03B503_room6,6.435119008,9.910365808,0.000187507,5,2
lot_plan_03B504_room1,49.68644139,31.25889667,0.000287371,2,0
lot_plan_03B504_room2,6.046430181,22.52327152,0.000330533,4,4
lot_plan_03B504_room3,13.00981527,18.87013726,0.000746164,3,2
lot_plan_03B504_room5,28.61755843,21.26543149,0.000163072,3,1
lot_plan_03B505_room1,8.926480244,9.299066612,0.000444255,2,5
lot_plan_03B505_room2,34.79547095,16.34384804,0.00015242,3,0
lot_plan_03B505_room5,4.027713714,8.489973983,0.000573361,3,3
lot_plan_03B505_room6,5.56054201,10.13834603,0.000646425,2,2
lot_plan_03B506_room2,3.625064297,14.80658796,0.000875829,3,3
lot_plan_03B506_room3,8.844156476,17.9382777,0.000663002,3,2
lot_plan_03B506_room4,11.34085019,24.22013334,0.000185398,5,4
lot_plan_03B506_room5,21.42601897,17.1598978,0.000172648,3,1
lot_plan_03B506_room6,52.53428564,21.52960981,0.000197079,2,0
lot_plan_03B601_room1,12.16723495,9.727901457,0.000130025,2,1
lot_plan_03B601_room2,7.48245305,9.614411999,0.000746608,2,2
lot_plan_03B601_room4,12.56275303,9.504978293,0.000434726,2,5
lot_plan_03B601_room5,26.39750706,14.68735793,9.02E-05,6,0
lot_plan_03B601_room6,2.317774752,9.334901675,0.000493172,4,4
lot_plan_03B601_room7,13.34529794,13.40777926,0.000105848,2,1
lot_plan_03B601_room8,6.140497627,9.881916376,0.000604285,3,2
lot_plan_03B601_room9,16.42886003,10.33221593,0.000166592,3,1
lot_plan_03B602_room1,38.90796194,14.41761052,0.000200121,4,0
lot_plan_03B602_room2,1.992080889,11.03301964,0.000480629,3,3
lot_plan_03B602_room4,3.101949161,10.06291958,0.000904542,3,2
lot_plan_03B602_room5,11.06116273,12.43336294,0.000105089,4,1
lot_plan_03B602_room8,7.38328891,11.72215612,0.000587414,2,2
lot_plan_03B602_room9,12.42247123,11.57660777,9.35E-05,3,1
lot_plan_03B603_room1,5.936047779,11.51093579,0.000676919,3,2
lot_plan_03B603_room2,11.4282428,10.85415942,8.86E-05,2,1
lot_plan_03B603_room3,1.97072855,10.51562495,0.000302012,3,3
lot_plan_03B603_room4,4.081475435,8.163140753,0.000804091,4,2
lot_plan_03B603_room5,14.07114519,14.30018087,0.000139959,5,1
lot_plan_03B603_room7,5.665689006,13.27411235,0.000231413,7,4
lot_plan_03B603_room8,41.85346507,15.23863675,0.000155028,6,0
lot_plan_03B603_room10,12.18099424,9.885399457,8.96E-05,2,1
plan_modifie_1_01a302_room1,14.67822969,22.83638009,9.44E-05,3,1
plan_modifie_1_01a302_room2,3.426476069,13.29611807,0.00035868,3,3
plan_modifie_1_01a302_room3,6.576497077,18.18703333,0.0002935,5,4
plan_modifie_1_01a302_room4,6.839599688,17.04100378,0.000666251,3,2
plan_modifie_1_01a302_room5,49.63402418,21.73503703,0.000195003,3,0
plan_modifie_1_01a302_room6,18.4440657,15.48135992,0.000221367,3,1
plan_modifie_1_01a402_room1,14.15536765,17.34499758,0.000127488,3,1
plan_modifie_1_01a402_room2,3.847224287,18.2563103,0.000366057,3,3
plan_modifie_1_01a402_room3,7.007430621,21.03586735,0.000265822,5,4
plan_modifie_1_01a402_room4,6.803078999,16.50450161,0.000677229,3,2
plan_modifie_1_01a402_room5,49.40306041,25.75312891,0.000207101,3,0
plan_modifie_1_01a402_room6,18.78231303,15.6690102,0.000234287,3,1
plan_modifie_1_01a405_room1,11.69302996,13.18880517,0.000131814,2,1
plan_modifie_1_01a405_room2,9.423911671,19.52210959,0.000253578,4,4
plan_modifie_1_01a405_room3,7.231411204,12.3787071,0.000744075,3,2
plan_modifie_1_01a405_room4,3.720296086,11.51612894,0.000257295,3,3
plan_modifie_1_01a405_room5,7.287572421,15.55960333,0.000229626,5,4
plan_modifie_1_01a405_room6,43.09675814,19.07387652,0.000137332,4,0
plan_modifie_1_01a405_room7,16.56602087,11.04976742,0.00019458,3,1