id,area,compactness,dennsity,adjacentRooms,y_label
OXYplan_010116_room1,13.27398554,12.04696651,0.000129055,3,1
OXYplan_010116_room2,16.9016144,15.33151296,0.000126565,3,1
OXYplan_010116_room3,13.19279438,13.03256605,0.000128675,3,1
OXYplan_010116_room4,7.683082545,17.40090143,0.000146972,7,4
OXYplan_010116_room5,6.102676679,10.37347518,0.000209625,2,2
OXYplan_010116_room6,2.322798363,10.87957804,0.00040895,2,3
OXYplan_010116_room8,36.12859244,14.26254162,0.00010127,3,0
lot_plan_010101_room1,14.35843291,25.77432369,0.000442901,2,3
lot_plan_010101_room2,28.39167582,25.90433855,0.000167747,2,1
lot_plan_010101_room3,55.69647599,33.72358456,0.000182859,2,0
lot_plan_010102_room1,47.22616404,21.43437278,0.000231071,3,0
lot_plan_010102_room2,15.33442406,17.98136066,0.00014971,3,1
lot_plan_010102_room3,2.98224233,12.92148025,0.001742162,2,3
lot_plan_010102_room4,4.992988197,18.27137445,0.00017674,5,4
lot_plan_010102_room5,19.85286343,17.52204549,0.000158565,3,1
lot_plan_010102_room6,8.673350139,14.89903877,0.000358732,2,2
lot_plan_010103_room1,48.72009056,18.25020141,0.000240202,3,0
lot_plan_010103_room2,14.41586759,18.13080656,0.000123048,3,1
lot_plan_010103_room3,3.008298456,12.88388587,0.001754376,2,3
lot_plan_010103_room4,4.548740829,18.88054103,0.000194677,5,4
lot_plan_010103_room5,7.410138461,21.17696,0.000395083,2,2
lot_plan_010103_room6,20.61306611,17.5480205,0.00019063,3,1
lot_plan_010104_room1,8.337661972,21.82104721,0.000247091,2,2
lot_plan_010104_room2,19.78948035,15.51686734,0.000134895,3,1
lot_plan_010104_room3,5.041773123,16.76239805,0.000144594,5,4
lot_plan_010104_room4,3.02526095,12.14732549,0.001276049,2,3
lot_plan_010104_room5,15.31373832,17.19330804,0.00012419,3,1
lot_plan_010104_room6,47.26472265,19.26213645,9.04E-05,3,0
lot_plan_010105_room1,37.98768337,12.61862853,8.22E-05,3,0
lot_plan_010105_room2,12.16095788,12.64606542,0.000107136,3,1
lot_plan_010105_room4,11.96483245,12.01017619,0.000119637,3,0
lot_plan_010105_room5,2.750706918,8.877663177,0.001273187,2,3
lot_plan_010105_room6,8.238168056,17.67152113,8.61E-05,7,4
lot_plan_010105_room7,6.598107159,14.48387895,0.000315767,2,2
lot_plan_010105_room8,15.63889292,11.16473095,0.000133141,3,1
lot_plan_010106_room1,12.1553571,14.66862708,0.000129511,3,1
lot_plan_010106_room2,15.96915975,12.89938093,0.000180151,3,1
lot_plan_010106_room3,11.14461934,13.48687297,0.000122715,3,1
lot_plan_010106_room4,8.024887911,18.34743486,0.000110252,7,4
lot_plan_010106_room5,6.627358664,11.32008854,0.000408438,2,2
lot_plan_010106_room6,2.773340008,9.628656782,0.001582455,2,3
lot_plan_010106_room8,38.28333787,14.29066151,0.000110553,3,0
lot_plan_010201_room2,13.37720039,35.41271454,0.000396395,3,2
lot_plan_010201_room3,28.13614063,23.69200945,0.000168456,2,1
lot_plan_010201_room4,57.33804325,37.35989183,0.000149746,3,0
lot_plan_010202_room1,47.21754567,19.44207128,8.98E-05,3,0
lot_plan_010202_room2,15.37505207,18.15122141,0.000103198,3,1
lot_plan_010202_room3,3.023447865,13.11998505,0.001375383,2,3
lot_plan_010202_room4,5.215592842,18.13260302,0.000145509,5,4
lot_plan_010202_room5,8.292567545,22.24665224,0.000269012,2,2
lot_plan_010202_room6,20.03376938,16.33120748,0.000136098,3,1
lot_plan_010203_room1,15.73023332,12.38444657,0.000168069,3,1
lot_plan_010203_room2,11.96883686,12.90170105,0.000115612,3,1
lot_plan_010203_room3,11.92338684,16.41807497,0.000119155,3,1
lot_plan_010203_room4,36.34878815,11.42679696,0.000109761,2,0
lot_plan_010203_room5,5.834080271,14.84212755,0.000371472,2,2
lot_plan_010203_room6,2.456202298,8.744441639,0.001572948,1,3
lot_plan_010203_room7,14.84576871,28.58280237,0.000681529,6,4
lot_plan_010204_room1,3.146517223,13.42517052,0.001592025,2,3
lot_plan_010204_room2,8.365309662,25.09896773,0.000317179,2,2
lot_plan_010204_room3,5.33810103,18.94795319,0.000172257,5,4
lot_plan_010204_room4,19.9618259,17.34078189,0.00017297,3,1
lot_plan_010204_room5,15.04380263,18.54111175,0.000114618,3,1
lot_plan_010204_room6,47.54429927,20.02715057,0.000224024,3,0
lot_plan_010205_room1,13.36494228,39.4273139,0.000277096,2,2
lot_plan_010205_room3,50.95325255,25.67442656,0.000153341,3,0
lot_plan_010205_room4,29.27383556,18.90197656,0.000143727,2,1
lot_plan_010206_room1,14.5497877,37.37277812,0.000320659,2,2
lot_plan_010206_room2,54.34280236,35.8902586,0.000153259,2,0
lot_plan_010206_room3,30.09319271,23.61205195,0.000118948,2,1
lot_plan_010207_room1,3.08958217,13.17145984,0.001593455,2,3
lot_plan_010207_room2,5.253001861,18.19018656,0.000164064,5,4
lot_plan_010207_room3,7.928054821,16.56125999,0.000334957,2,2
lot_plan_010207_room4,48.17921408,21.03695024,0.000220874,3,0
lot_plan_010207_room5,19.56392477,17.5468114,0.000161699,3,1
lot_plan_010207_room6,14.95843404,19.09399351,0.000110221,3,1
lot_plan_010211_room1,28.26874634,29.84801395,0.000142917,2,1
lot_plan_010211_room2,13.56107688,36.72470924,0.000321962,3,2
lot_plan_010211_room4,57.03745464,31.74777347,0.000141455,3,0
lot_plan_010212_room1,15.33626899,19.26067181,9.87E-05,3,1
lot_plan_010212_room2,19.93251275,17.6189376,0.000104924,3,1
lot_plan_010212_room3,5.118996879,18.2364238,0.000130989,5,4
lot_plan_010212_room4,3.068731621,12.97260806,0.001120777,2,3
lot_plan_010212_room5,8.577638182,15.20543726,0.000262325,2,2
lot_plan_010212_room6,47.13505803,20.85076948,8.17E-05,3,0
lot_plan_010213_room1,15.77156537,11.71105993,0.000155225,3,1
lot_plan_010213_room2,11.96746009,12.6614094,0.000121402,3,1
lot_plan_010213_room3,11.99099954,12.70114997,0.00012179,3,1
lot_plan_010213_room5,36.2169061,11.46212151,9.07E-05,3,0
lot_plan_010213_room6,5.808312717,19.85654447,0.000308958,2,2
lot_plan_010213_room7,2.424177151,8.824424709,0.001369907,1,3
lot_plan_010213_room8,11.9209616,19.3294265,0.000418282,7,4
lot_plan_010214_room1,3.181201756,13.41405738,0.001119746,2,3
lot_plan_010214_room2,5.192651538,18.80896423,0.000134004,5,4
lot_plan_010214_room3,8.674136327,16.30994817,0.000289371,2,2
lot_plan_010214_room4,19.83586893,17.9877999,0.000139891,3,1
lot_plan_010214_room5,15.27069821,19.01286574,0.000109662,3,1
lot_plan_010214_room6,47.0113305,19.54892784,0.000170156,3,0
lot_plan_010215_room1,13.39554749,38.0229416,0.000274432,2,2
lot_plan_010215_room3,50.91520505,27.19790262,0.000160091,3,0
lot_plan_010215_room4,29.15179698,18.06996183,0.000141285,2,1
lot_plan_010216_room1,13.70966148,35.19573754,0.000303326,2,2
lot_plan_010216_room2,53.7511334,30.1670194,0.000150054,2,0
lot_plan_010216_room3,30.37197386,20.97632658,0.000135764,2,1
lot_plan_010217_room1,3.212535418,12.71145325,0.001273733,2,3
lot_plan_010217_room2,8.348371873,21.66774461,0.00027605,2,2
lot_plan_010217_room3,5.13011296,18.38137915,0.000102369,5,4
lot_plan_010217_room4,48.25850611,18.48807437,0.000187911,3,0
lot_plan_010217_room5,14.78399325,18.36890869,0.000115888,3,1
lot_plan_010217_room6,19.37637355,17.60819621,0.000143273,3,1
lot_plan_010218_room1,31.13575871,27.45763654,0.000294314,2,1
lot_plan_010218_room2,14.11467695,37.06540881,0.000375615,1,2
lot_plan_010218_room3,53.51698944,29.80835223,7.90E-05,1,0
lot_plan_020311_room1,13.4781506,23.27967209,0.000266015,2,2
lot_plan_020311_room2,57.50525866,48.38721873,0.000115101,2,0
lot_plan_020311_room3,28.18385068,20.1677244,9.71E-05,2,1
lot_plan_020312_room1,3.107158957,13.75745894,0.000666529,1,3
lot_plan_020312_room2,8.030411847,16.51928128,0.000240215,2,2
lot_plan_020312_room3,53.33077136,34.62332915,0.000115756,4,0
lot_plan_020312_room4,15.12405956,20.95503851,7.91E-05,2,1
lot_plan_020312_room5,19.66518688,13.58837201,9.27E-05,3,1
lot_plan_020313_room1,14.50339373,15.69502623,8.04E-05,3,1
lot_plan_020313_room2,18.58441839,15.86797903,9.16E-05,3,1
lot_plan_020313_room3,5.227444985,19.10965709,0.000213277,5,4
lot_plan_020313_room4,7.578936436,25.5743417,0.000211263,3,2
lot_plan_020313_room5,3.158322906,13.7016229,0.00066836,2,3
lot_plan_020313_room6,50.22922748,21.15046062,6.35E-05,2,0
lot_plan_020314_room1,15.77810708,21.579751,7.64E-05,3,1
lot_plan_020314_room2,19.20681072,12.2667627,9.08E-05,3,1
lot_plan_020314_room3,5.988966543,21.47813832,0.000222675,5,4
lot_plan_020314_room4,3.129626469,12.45450698,0.000656996,2,3
lot_plan_020314_room5,8.318278881,14.43044173,0.00022965,2,2
lot_plan_020314_room6,46.72496278,22.99135441,6.36E-05,3,0
lot_plan_020315_room1,46.27239557,19.28134335,6.31E-05,3,0
lot_plan_020315_room2,2.809081005,12.97634679,0.000670103,3,3
lot_plan_020315_room3,7.569143516,26.21446677,0.000210914,3,2
lot_plan_020315_room4,5.654788613,20.06005357,0.000607132,5,4
lot_plan_020315_room5,15.47008683,15.97633939,7.50E-05,3,1
lot_plan_020315_room6,21.12770055,12.58840078,7.90E-05,3,1
lot_plan_020401_room1,16.2687586,17.55340715,7.18E-05,3,1
lot_plan_020401_room2,19.78331836,11.59094443,8.88E-05,3,1
lot_plan_020401_room3,5.256706469,16.86056101,0.000182932,5,4
lot_plan_020401_room4,7.86854925,20.89467034,0.000211327,3,2
lot_plan_020401_room5,3.013535548,11.37305349,0.000667941,2,3
lot_plan_020401_room6,46.82979151,24.13359105,7.85E-05,2,0
lot_plan_020402_room1,15.60052991,14.74093005,8.04E-05,3,1
lot_plan_020402_room2,20.05741575,15.31922234,9.09E-05,3,1
lot_plan_020402_room3,5.43258903,17.62898467,0.000176733,5,4
lot_plan_020402_room4,8.290046376,16.69491889,0.000251435,3,2
lot_plan_020402_room5,3.339412269,11.94525147,0.000679608,2,3
lot_plan_020402_room6,46.53820492,25.54076438,7.00E-05,2,0
lot_plan_020403_room2,13.55866175,26.70566113,0.000246563,3,2
lot_plan_020403_room3,59.39199508,37.23277014,9.10E-05,3,0
lot_plan_020403_room4,25.67801061,28.50626115,9.75E-05,2,1
lot_plan_020404_room2,14.10120584,25.51716773,0.000238832,3,2
lot_plan_020404_room3,27.36363901,20.31371018,9.82E-05,2,1
lot_plan_020404_room4,57.08675826,42.98083885,0.000104054,3,0
lot_plan_020411_room1,46.36716372,21.17200979,5.56E-05,3,0
lot_plan_020411_room2,2.301023275,10.27676621,0.000636236,3,3
lot_plan_020411_room3,8.55111855,18.7096287,0.000554979,6,4
lot_plan_020411_room4,6.134851021,12.30779776,0.000220505,3,2
lot_plan_020411_room5,11.01659863,13.21234082,8.05E-05,3,1
lot_plan_020411_room6,10.95420006,12.63629238,8.06E-05,3,1
lot_plan_020411_room7,13.91721723,10.66566184,8.90E-05,3,1
lot_plan_020412_room1,16.41497014,18.93207954,7.16E-05,3,1
lot_plan_020412_room2,19.87768747,12.4801645,8.86E-05,3,1
lot_plan_020412_room3,5.08505947,18.36014861,0.00020041,5,4
lot_plan_020412_room4,7.754693818,13.71543989,0.000230157,3,2
lot_plan_020412_room5,2.941107187,12.95212364,0.000664376,2,3
lot_plan_020412_room6,46.97324779,24.668752,7.46E-05,2,0
lot_plan_020413_room1,15.52620292,15.60385961,7.98E-05,3,1
lot_plan_020413_room2,19.9208741,15.7114003,9.06E-05,3,1
lot_plan_020413_room3,5.66327391,19.10042453,0.000217313,5,4
lot_plan_020413_room4,3.222364315,13.33341782,0.000657319,2,3
lot_plan_020413_room5,8.278485805,16.10796862,0.000253752,3,2
lot_plan_020413_room6,46.66442297,24.12052914,6.85E-05,2,0
lot_plan_020414_room1,14.28823084,23.5407822,0.000239846,2,2
lot_plan_020414_room2,59.44060334,41.41007582,9.20E-05,2,0
lot_plan_020414_room3,25.22744924,25.63683472,9.85E-05,2,1
lot_plan_020415_room2,14.1120538,23.66677607,0.000237986,3,2
lot_plan_020415_room3,28.2532015,19.16005669,9.70E-05,2,1
lot_plan_020415_room4,56.17284176,45.78197126,9.79E-05,3,0
oxyplan_010241_room1,28.66856826,24.9280885,0.000131961,2,1
oxyplan_010241_room2,14.06443105,26.20757781,0.000196772,3,2
oxyplan_010241_room4,54.59404645,29.77704724,0.000103309,3,0